npm verbose cli C:\Program Files\nodejs\node.exe C:\Program Files\nodejs\node_modules\npm\bin\npm-cli.js
npm http cache https://registry.npmmirror.com/debug 66ms (cache hit)
npm http cache https://registry.npmmirror.com/escape-string-regexp 68ms (cache hit)
npm http cache https://registry.npmmirror.com/eslint-scope 69ms (cache hit)
npm http cache https://registry.npmmirror.com/eslint-visitor-keys 69ms (cache hit)
npm http cache https://registry.npmmirror.com/espree 71ms (cache hit)
npm http cache https://registry.npmmirror.com/esquery 75ms (cache hit)
npm http cache https://registry.npmmirror.com/fast-deep-equal 73ms (cache hit)
npm http cache https://registry.npmmirror.com/esutils 79ms (cache hit)
npm http cache https://registry.npmmirror.com/find-up 73ms (cache hit)
npm http cache https://registry.npmmirror.com/file-entry-cache 79ms (cache hit)
npm http cache https://registry.npmmirror.com/glob-parent 69ms (cache hit)
npm http cache https://registry.npmmirror.com/imurmurhash 61ms (cache hit)
npm http cache https://registry.npmmirror.com/is-glob 57ms (cache hit)
npm http cache https://registry.npmmirror.com/ignore 67ms (cache hit)
npm http cache https://registry.npmmirror.com/json-stable-stringify-without-jsonify 64ms (cache hit)
npm http cache https://registry.npmmirror.com/lodash.merge 65ms (cache hit)
npm http cache https://registry.npmmirror.com/minimatch 66ms (cache hit)
npm http cache https://registry.npmmirror.com/natural-compare 58ms (cache hit)
npm http cache https://registry.npmmirror.com/optionator 62ms (cache hit)
npm http cache https://registry.npmmirror.com/natural-compare 73ms (cache hit)
npm http cache https://registry.npmmirror.com/nth-check 66ms (cache hit)
npm http cache https://registry.npmmirror.com/semver 64ms (cache hit)
npm http cache https://registry.npmmirror.com/postcss-selector-parser 71ms (cache hit)
npm http cache https://registry.npmmirror.com/xml-name-validator 70ms (cache hit)
npm http cache https://registry.npmmirror.com/ansi-styles 66ms (cache hit)
npm http cache https://registry.npmmirror.com/memorystream 68ms (cache hit)
npm http cache https://registry.npmmirror.com/picomatch 68ms (cache hit)
npm http cache https://registry.npmmirror.com/pidtree 68ms (cache hit)
npm http cache https://registry.npmmirror.com/shell-quote 61ms (cache hit)
npm http cache https://registry.npmmirror.com/read-package-json-fast 70ms (cache hit)
npm http cache https://registry.npmmirror.com/@vue%2fdevtools-api 63ms (cache hit)
npm http cache https://registry.npmmirror.com/which 69ms (cache hit)
npm http cache https://registry.npmmirror.com/source-map-js 63ms (cache hit)
npm http cache https://registry.npmmirror.com/nanoid 68ms (cache hit)
npm http cache https://registry.npmmirror.com/fdir 61ms (cache hit)
npm http cache https://registry.npmmirror.com/picomatch 63ms (cache hit)
npm http cache https://registry.npmmirror.com/esbuild 73ms (cache hit)
npm http cache https://registry.npmmirror.com/tinyglobby 75ms (cache hit)
npm http cache https://registry.npmmirror.com/rollup 88ms (cache hit)
npm http cache https://registry.npmmirror.com/fsevents 126ms (cache hit)
npm http cache https://registry.npmmirror.com/@vue%2fcompiler-dom 121ms (cache hit)
npm http cache https://registry.npmmirror.com/@vue%2fshared 130ms (cache hit)
npm http cache https://registry.npmmirror.com/@vue%2fcompiler-sfc 130ms (cache hit)
npm http cache https://registry.npmmirror.com/@vue%2fserver-renderer 137ms (cache hit)
npm http cache https://registry.npmmirror.com/@vue%2flanguage-core 133ms (cache hit)
npm http cache https://registry.npmmirror.com/@volar%2ftypescript 143ms (cache hit)
npm http cache https://registry.npmmirror.com/@vue%2fruntime-dom 157ms (cache hit)
npm http cache https://registry.npmmirror.com/@babel%2fplugin-transform-modules-commonjs 15ms (cache hit)
npm http cache https://registry.npmmirror.com/@babel%2fpreset-typescript 14ms (cache hit)
npm http cache https://registry.npmmirror.com/@ctrl%2feslint-config 14ms (cache hit)
npm http cache https://registry.npmmirror.com/@jest%2fglobals 15ms (cache hit)
npm http cache https://registry.npmmirror.com/@types%2fnode 35ms (cache hit)
npm http cache https://registry.npmmirror.com/del-cli 26ms (cache hit)
npm http cache https://registry.npmmirror.com/jest 17ms (cache hit)
npm http cache https://registry.npmmirror.com/jest-junit 14ms (cache hit)
npm http cache https://registry.npmmirror.com/rollup 25ms (cache hit)
npm http cache https://registry.npmmirror.com/rollup-plugin-livereload 16ms (cache hit)
npm http cache https://registry.npmmirror.com/rollup-plugin-serve 14ms (cache hit)
npm http cache https://registry.npmmirror.com/rollup-plugin-sourcemaps 14ms (cache hit)
npm http cache https://registry.npmmirror.com/rollup-plugin-terser 15ms (cache hit)
npm http cache https://registry.npmmirror.com/rollup-plugin-typescript2 13ms (cache hit)
npm http cache https://registry.npmmirror.com/ts-node 14ms (cache hit)
npm http cache https://registry.npmmirror.com/typedoc 17ms (cache hit)
npm http cache https://registry.npmmirror.com/typescript 43ms (cache hit)
npm http cache https://registry.npmmirror.com/@babel%2fhelper-module-transforms 59ms (cache hit)
npm http cache https://registry.npmmirror.com/@babel%2fhelper-validator-option 67ms (cache hit)
npm http cache https://registry.npmmirror.com/@babel%2fhelper-simple-access 75ms (cache hit)
npm http cache https://registry.npmmirror.com/@typescript-eslint%2feslint-plugin 121ms (cache hit)
npm http cache https://registry.npmmirror.com/eslint 343ms (cache hit)
npm http cache https://registry.npmmirror.com/@typescript-eslint%2fparser 386ms (cache hit)
npm http cache https://registry.npmmirror.com/@babel%2fplugin-transform-typescript 513ms (cache hit)
npm http cache https://registry.npmmirror.com/eslint-config-prettier 518ms (cache hit)
npm http cache https://registry.npmmirror.com/eslint-config-xo-typescript 523ms (cache hit)
npm http cache https://registry.npmmirror.com/@babel%2fhelper-plugin-utils 530ms (cache hit)
npm http cache https://registry.npmmirror.com/eslint-config-xo 531ms (cache hit)
npm http cache https://registry.npmmirror.com/eslint-plugin-prettier 536ms (cache hit)
npm http cache https://registry.npmmirror.com/@babel%2fhelper-plugin-utils 549ms (cache hit)
npm http cache https://registry.npmmirror.com/@jest%2fexpect 481ms (cache hit)
npm http cache https://registry.npmmirror.com/@jest%2fenvironment 500ms (cache hit)
npm http cache https://registry.npmmirror.com/eslint-plugin-simple-import-sort 510ms (cache hit)
npm http cache https://registry.npmmirror.com/jest-mock 218ms (cache hit)
npm http cache https://registry.npmmirror.com/@jest%2ftypes 247ms (cache hit)
npm http cache https://registry.npmmirror.com/del 81ms (cache hit)
npm http cache https://registry.npmmirror.com/meow 77ms (cache hit)
npm http cache https://registry.npmmirror.com/@jest%2fcore 74ms (cache hit)
npm http cache https://registry.npmmirror.com/@jest%2ftypes 78ms (cache hit)
npm http cache https://registry.npmmirror.com/import-local 83ms (cache hit)
npm http cache https://registry.npmmirror.com/jest-cli 83ms (cache hit)
npm http cache https://registry.npmmirror.com/mkdirp 90ms (cache hit)
npm http cache https://registry.npmmirror.com/strip-ansi 93ms (cache hit)
npm http cache https://registry.npmmirror.com/uuid 90ms (cache hit)
npm http cache https://registry.npmmirror.com/xml 89ms (cache hit)
npm http cache https://registry.npmmirror.com/livereload 91ms (cache hit)
npm http cache https://registry.npmmirror.com/mime 88ms (cache hit)
npm http cache https://registry.npmmirror.com/opener 87ms (cache hit)
npm http cache https://registry.npmmirror.com/source-map-resolve 87ms (cache hit)
npm http cache https://registry.npmmirror.com/@rollup%2fpluginutils 91ms (cache hit)
npm http cache https://registry.npmmirror.com/@babel%2fcode-frame 84ms (cache hit)
npm http cache https://registry.npmmirror.com/serialize-javascript 74ms (cache hit)
npm http cache https://registry.npmmirror.com/@rollup%2fpluginutils 59ms (cache hit)
npm http cache https://registry.npmmirror.com/jest-worker 85ms (cache hit)
npm http cache https://registry.npmmirror.com/terser 71ms (cache hit)
npm http cache https://registry.npmmirror.com/find-cache-dir 84ms (cache hit)
npm http cache https://registry.npmmirror.com/tslib 77ms (cache hit)
npm http cache https://registry.npmmirror.com/@cspotcode%2fsource-map-support 75ms (cache hit)
npm http cache https://registry.npmmirror.com/fs-extra 82ms (cache hit)
npm http cache https://registry.npmmirror.com/@tsconfig%2fnode10 74ms (cache hit)
npm http cache https://registry.npmmirror.com/@tsconfig%2fnode12 74ms (cache hit)
npm http cache https://registry.npmmirror.com/@tsconfig%2fnode16 68ms (cache hit)
npm http cache https://registry.npmmirror.com/@tsconfig%2fnode14 71ms (cache hit)
npm http cache https://registry.npmmirror.com/arg 61ms (cache hit)
npm http cache https://registry.npmmirror.com/create-require 58ms (cache hit)
npm http cache https://registry.npmmirror.com/acorn 70ms (cache hit)
npm http cache https://registry.npmmirror.com/acorn-walk 71ms (cache hit)
npm http cache https://registry.npmmirror.com/diff 62ms (cache hit)
npm http cache https://registry.npmmirror.com/v8-compile-cache-lib 39ms (cache hit)
npm http cache https://registry.npmmirror.com/make-error 52ms (cache hit)
npm http cache https://registry.npmmirror.com/yn 40ms (cache hit)
npm http cache https://registry.npmmirror.com/lunr 43ms (cache hit)
npm http cache https://registry.npmmirror.com/marked 46ms (cache hit)
npm http cache https://registry.npmmirror.com/shiki 51ms (cache hit)
npm http fetch GET 200 https://registry.npmmirror.com/@eslint-community%2feslint-plugin-mysticatea 280ms (cache miss)
npm http cache https://registry.npmmirror.com/@rollup%2fplugin-node-resolve 12ms (cache hit)
npm http cache https://registry.npmmirror.com/@types%2feslint 10ms (cache hit)
npm http fetch GET 200 https://registry.npmmirror.com/@types%2fjsdom 64ms (cache revalidated)
npm http cache https://registry.npmmirror.com/@types%2fmocha 14ms (cache hit)
npm http cache https://registry.npmmirror.com/@types%2fnode 29ms (cache hit)
npm http fetch GET 200 https://registry.npmmirror.com/dts-bundle 107ms (cache miss)
npm http cache https://registry.npmmirror.com/eslint 13ms (cache hit)
npm http cache https://registry.npmmirror.com/js-tokens 10ms (cache hit)
npm http cache https://registry.npmmirror.com/jsdom 13ms (cache hit)
npm http cache https://registry.npmmirror.com/mocha 23ms (cache hit)
npm http fetch GET 200 https://registry.npmmirror.com/nyc 121ms (cache miss)
npm http cache https://registry.npmmirror.com/rimraf 13ms (cache hit)
npm http cache https://registry.npmmirror.com/rollup 18ms (cache hit)
npm http cache https://registry.npmmirror.com/typescript 41ms (cache hit)
npm http cache https://registry.npmmirror.com/eslint-plugin-node 42ms (cache hit)
npm http cache https://registry.npmmirror.com/is-builtin-module 39ms (cache hit)
npm http cache https://registry.npmmirror.com/is-module 39ms (cache hit)
npm http cache https://registry.npmmirror.com/@typescript-eslint%2feslint-plugin 74ms (cache hit)
npm http cache https://registry.npmmirror.com/@types%2fresolve 187ms (cache hit)
npm http cache https://registry.npmmirror.com/@typescript-eslint%2fparser 211ms (cache hit)
npm http cache https://registry.npmmirror.com/deepmerge 322ms (cache hit)
npm http cache https://registry.npmmirror.com/resolve 322ms (cache hit)
npm http cache https://registry.npmmirror.com/@types%2fglob 316ms (cache hit)
npm http cache https://registry.npmmirror.com/detect-indent 174ms (cache hit)
npm http cache https://registry.npmmirror.com/@types%2fnode 335ms (cache hit)
npm http cache https://registry.npmmirror.com/commander 304ms (cache hit)
npm http cache https://registry.npmmirror.com/glob 198ms (cache hit)
npm http cache https://registry.npmmirror.com/@nodelib%2ffs.walk 187ms (cache hit)
npm http cache https://registry.npmmirror.com/@humanwhocodes%2fconfig-array 193ms (cache hit)
npm http fetch GET 200 https://registry.npmmirror.com/eslint-plugin-eslint-comments 528ms (cache revalidated)
npm http fetch GET 200 https://registry.npmmirror.com/eslint-plugin-eslint-plugin 541ms (cache miss)
npm http cache https://registry.npmmirror.com/@ungap%2fstructured-clone 190ms (cache hit)
npm http fetch GET 200 https://registry.npmmirror.com/@types%2ftough-cookie 546ms (cache miss)
npm http fetch GET 200 https://registry.npmmirror.com/@types%2fmkdirp 509ms (cache miss)
npm http fetch GET 200 https://registry.npmmirror.com/@types%2fdetect-indent 547ms (cache miss)
npm http cache https://registry.npmmirror.com/doctrine 192ms (cache hit)
npm http fetch GET 200 https://registry.npmmirror.com/@types%2fparse5 552ms (cache miss)
npm http cache https://registry.npmmirror.com/graphemer 63ms (cache hit)
npm http cache https://registry.npmmirror.com/globals 71ms (cache hit)
npm http cache https://registry.npmmirror.com/is-path-inside 56ms (cache hit)
npm http cache https://registry.npmmirror.com/text-table 47ms (cache hit)
npm http cache https://registry.npmmirror.com/levn 52ms (cache hit)
npm http cache https://registry.npmmirror.com/abab 49ms (cache hit)
npm http cache https://registry.npmmirror.com/acorn-globals 51ms (cache hit)
npm http cache https://registry.npmmirror.com/cssom 45ms (cache hit)
npm http cache https://registry.npmmirror.com/data-urls 44ms (cache hit)
npm http cache https://registry.npmmirror.com/cssstyle 48ms (cache hit)
npm http cache https://registry.npmmirror.com/escodegen 45ms (cache hit)
npm http cache https://registry.npmmirror.com/domexception 50ms (cache hit)
npm http cache https://registry.npmmirror.com/decimal.js 54ms (cache hit)
npm http cache https://registry.npmmirror.com/form-data 55ms (cache hit)
npm http cache https://registry.npmmirror.com/html-encoding-sniffer 57ms (cache hit)
npm http cache https://registry.npmmirror.com/http-proxy-agent 54ms (cache hit)
npm http cache https://registry.npmmirror.com/https-proxy-agent 54ms (cache hit)
npm http cache https://registry.npmmirror.com/is-potential-custom-element-name 57ms (cache hit)
npm http cache https://registry.npmmirror.com/nwsapi 60ms (cache hit)
npm http cache https://registry.npmmirror.com/parse5 58ms (cache hit)
npm http cache https://registry.npmmirror.com/saxes 57ms (cache hit)
npm http cache https://registry.npmmirror.com/symbol-tree 57ms (cache hit)
npm http cache https://registry.npmmirror.com/w3c-hr-time 57ms (cache hit)
npm http cache https://registry.npmmirror.com/tough-cookie 63ms (cache hit)
npm http cache https://registry.npmmirror.com/webidl-conversions 59ms (cache hit)
npm http cache https://registry.npmmirror.com/w3c-xmlserializer 64ms (cache hit)
npm http cache https://registry.npmmirror.com/whatwg-encoding 57ms (cache hit)
npm http cache https://registry.npmmirror.com/whatwg-mimetype 55ms (cache hit)
npm http cache https://registry.npmmirror.com/whatwg-url 54ms (cache hit)
npm http cache https://registry.npmmirror.com/ws 65ms (cache hit)
npm http cache https://registry.npmmirror.com/ansi-colors 63ms (cache hit)
npm http cache https://registry.npmmirror.com/chokidar 63ms (cache hit)
npm http cache https://registry.npmmirror.com/browser-stdout 70ms (cache hit)
npm http cache https://registry.npmmirror.com/log-symbols 58ms (cache hit)
npm http cache https://registry.npmmirror.com/he 68ms (cache hit)
npm http cache https://registry.npmmirror.com/js-yaml 65ms (cache hit)
npm http cache https://registry.npmmirror.com/ms 65ms (cache hit)
npm http cache https://registry.npmmirror.com/strip-json-comments 67ms (cache hit)
npm http cache https://registry.npmmirror.com/supports-color 68ms (cache hit)
npm http cache https://registry.npmmirror.com/workerpool 67ms (cache hit)
npm http cache https://registry.npmmirror.com/yargs 62ms (cache hit)
npm http cache https://registry.npmmirror.com/yargs-parser 64ms (cache hit)
npm http cache https://registry.npmmirror.com/archy 55ms (cache hit)
npm http cache https://registry.npmmirror.com/yargs-unparser 59ms (cache hit)
npm http fetch GET 200 https://registry.npmmirror.com/@ungap%2fpromise-all-settled 158ms (cache revalidated)
npm http cache https://registry.npmmirror.com/convert-source-map 58ms (cache hit)
npm http cache https://registry.npmmirror.com/istanbul-lib-coverage 47ms (cache hit)
npm http cache https://registry.npmmirror.com/istanbul-lib-hook 49ms (cache hit)
npm http cache https://registry.npmmirror.com/foreground-child 57ms (cache hit)
npm http cache https://registry.npmmirror.com/istanbul-lib-instrument 53ms (cache hit)
npm http cache https://registry.npmmirror.com/istanbul-lib-report 52ms (cache hit)
npm http fetch GET 200 https://registry.npmmirror.com/growl 155ms (cache revalidated)
npm http cache https://registry.npmmirror.com/istanbul-lib-source-maps 52ms (cache hit)
npm http cache https://registry.npmmirror.com/istanbul-reports 49ms (cache hit)
npm http cache https://registry.npmmirror.com/resolve-from 43ms (cache hit)
npm http cache https://registry.npmmirror.com/make-dir 51ms (cache hit)
npm http cache https://registry.npmmirror.com/signal-exit 43ms (cache hit)
npm http cache https://registry.npmmirror.com/test-exclude 39ms (cache hit)
npm http fetch GET 200 https://registry.npmmirror.com/caching-transform 119ms (cache miss)
npm http fetch GET 200 https://registry.npmmirror.com/merge-source-map 70ms (cache miss)
npm http fetch GET 200 https://registry.npmmirror.com/cp-file 123ms (cache miss)
npm http fetch GET 200 https://registry.npmmirror.com/spawn-wrap 108ms (cache miss)
npm http fetch GET 200 https://registry.npmmirror.com/ava 105ms (cache revalidated)
npm http cache https://registry.npmmirror.com/coveralls 11ms (cache hit)
npm http fetch GET 200 https://registry.npmmirror.com/tsd 105ms (cache revalidated)
npm http fetch GET 200 https://registry.npmmirror.com/xo 106ms (cache revalidated)
npm http cache https://registry.npmmirror.com/ansi-escapes 31ms (cache hit)
npm http cache https://registry.npmmirror.com/@babel%2fgenerator 34ms (cache hit)
npm http cache https://registry.npmmirror.com/arr-flatten 39ms (cache hit)
npm http cache https://registry.npmmirror.com/arrify 41ms (cache hit)
npm http cache https://registry.npmmirror.com/@babel%2fcore 44ms (cache hit)
npm http cache https://registry.npmmirror.com/array-union 48ms (cache hit)
npm http cache https://registry.npmmirror.com/bluebird 50ms (cache hit)
npm http cache https://registry.npmmirror.com/array-uniq 56ms (cache hit)
npm http cache https://registry.npmmirror.com/cli-cursor 37ms (cache hit)
npm http cache https://registry.npmmirror.com/cli-truncate 40ms (cache hit)
npm http cache https://registry.npmmirror.com/clean-stack 54ms (cache hit)
npm http cache https://registry.npmmirror.com/currently-unhandled 33ms (cache hit)
npm http cache https://registry.npmmirror.com/emittery 20ms (cache hit)
npm http cache https://registry.npmmirror.com/dot-prop 26ms (cache hit)
npm http cache https://registry.npmmirror.com/figures 13ms (cache hit)
npm http cache https://registry.npmmirror.com/get-port 16ms (cache hit)
npm http cache https://registry.npmmirror.com/globby 25ms (cache hit)
npm http fetch GET 200 https://registry.npmmirror.com/@ava%2fbabel-preset-stage-4 170ms (cache miss)
npm http cache https://registry.npmmirror.com/indent-string 11ms (cache hit)
npm http fetch GET 200 https://registry.npmmirror.com/chunkd 187ms (cache revalidated)
npm http cache https://registry.npmmirror.com/is-ci 14ms (cache hit)
npm http fetch GET 200 https://registry.npmmirror.com/@ava%2fbabel-preset-transform-test-files 210ms (cache miss)
npm http fetch GET 200 https://registry.npmmirror.com/ci-parallel-vars 208ms (cache revalidated)
npm http cache https://registry.npmmirror.com/is-observable 17ms (cache hit)
npm http fetch GET 200 https://registry.npmmirror.com/@concordance%2freact 218ms (cache miss)
npm http fetch GET 200 https://registry.npmmirror.com/clean-yaml-object 184ms (cache miss)
npm http cache https://registry.npmmirror.com/is-plain-object 17ms (cache hit)
npm http cache https://registry.npmmirror.com/is-promise 18ms (cache hit)
npm http cache https://registry.npmmirror.com/lodash 22ms (cache hit)
npm http fetch GET 200 https://registry.npmmirror.com/concordance 189ms (cache revalidated)
npm http fetch GET 200 https://registry.npmmirror.com/common-path-prefix 198ms (cache revalidated)
npm http cache https://registry.npmmirror.com/loud-rejection 29ms (cache hit)
npm http cache https://registry.npmmirror.com/micromatch 28ms (cache hit)
npm http fetch GET 200 https://registry.npmmirror.com/equal-length 177ms (cache miss)
npm http cache https://registry.npmmirror.com/ora 27ms (cache hit)
npm http fetch GET 200 https://registry.npmmirror.com/ignore-by-default 113ms (cache revalidated)
npm http fetch GET 200 https://registry.npmmirror.com/code-excerpt 237ms (cache revalidated)
npm http cache https://registry.npmmirror.com/pretty-ms 23ms (cache hit)
npm http cache https://registry.npmmirror.com/resolve-cwd 20ms (cache hit)
npm http fetch GET 200 https://registry.npmmirror.com/is-error 110ms (cache miss)
npm http fetch GET 200 https://registry.npmmirror.com/esm 200ms (cache miss)
npm http cache https://registry.npmmirror.com/slash 24ms (cache hit)
npm http fetch GET 200 https://registry.npmmirror.com/empower-core 231ms (cache miss)
npm http cache https://registry.npmmirror.com/source-map-support 26ms (cache hit)
npm http cache https://registry.npmmirror.com/stack-utils 26ms (cache hit)
npm http fetch GET 200 https://registry.npmmirror.com/matcher 112ms (cache revalidated)
npm http fetch GET 200 https://registry.npmmirror.com/md5-hex 111ms (cache miss)
npm http cache https://registry.npmmirror.com/trim-right 23ms (cache hit)
npm http cache https://registry.npmmirror.com/update-notifier 21ms (cache hit)
npm http fetch GET 200 https://registry.npmmirror.com/observable-to-promise 112ms (cache miss)
npm http fetch GET 200 https://registry.npmmirror.com/package-hash 112ms (cache miss)
npm http cache https://registry.npmmirror.com/write-file-atomic 32ms (cache hit)
npm http cache https://registry.npmmirror.com/lcov-parse 33ms (cache hit)
npm http cache https://registry.npmmirror.com/log-driver 32ms (cache hit)
npm http fetch GET 200 https://registry.npmmirror.com/pkg-conf 129ms (cache miss)
npm http cache https://registry.npmmirror.com/minimist 35ms (cache hit)
npm http cache https://registry.npmmirror.com/request 37ms (cache hit)
npm http fetch GET 200 https://registry.npmmirror.com/plur 135ms (cache revalidated)
npm http cache https://registry.npmmirror.com/@istanbuljs%2fload-nyc-config 44ms (cache hit)
npm http fetch GET 200 https://registry.npmmirror.com/require-precompiled 134ms (cache miss)
npm http cache https://registry.npmmirror.com/decamelize 42ms (cache hit)
npm http cache https://registry.npmmirror.com/@istanbuljs%2fschema 51ms (cache hit)
npm http cache https://registry.npmmirror.com/get-package-type 48ms (cache hit)
npm http fetch GET 200 https://registry.npmmirror.com/trim-off-newlines 119ms (cache miss)
npm http fetch GET 200 https://registry.npmmirror.com/strip-bom-buf 133ms (cache miss)
npm http cache https://registry.npmmirror.com/p-map 43ms (cache hit)
npm http fetch GET 200 https://registry.npmmirror.com/unique-temp-dir 117ms (cache miss)
npm http cache https://registry.npmmirror.com/path-exists 38ms (cache hit)
npm http fetch GET 200 https://registry.npmmirror.com/supertap 145ms (cache revalidated)
npm http cache https://registry.npmmirror.com/read-pkg-up 40ms (cache hit)
npm http cache https://registry.npmmirror.com/eslint 50ms (cache hit)
npm http cache https://registry.npmmirror.com/eslint-plugin-import 64ms (cache hit)
npm http cache https://registry.npmmirror.com/eslint-plugin-promise 64ms (cache hit)
npm http cache https://registry.npmmirror.com/eslint-plugin-unicorn 66ms (cache hit)
npm http cache https://registry.npmmirror.com/get-stdin 68ms (cache hit)
npm http cache https://registry.npmmirror.com/has-flag 64ms (cache hit)
npm http fetch GET 200 https://registry.npmmirror.com/istanbul-lib-processinfo 149ms (cache miss)
npm http fetch GET 200 https://registry.npmmirror.com/node-preload 141ms (cache miss)
npm http fetch GET 200 https://registry.npmmirror.com/eslint-formatter-pretty 106ms (cache revalidated)
npm http fetch GET 200 https://registry.npmmirror.com/eslint-formatter-pretty 130ms (cache revalidated)
npm http fetch GET 200 https://registry.npmmirror.com/process-on-spawn 139ms (cache miss)
npm http fetch GET 200 https://registry.npmmirror.com/eslint-plugin-ava 124ms (cache revalidated)
npm http fetch GET 200 https://registry.npmmirror.com/eslint-plugin-no-use-extend-native 155ms (cache revalidated)
npm http fetch GET 200 https://registry.npmmirror.com/multimatch 106ms (cache miss)
npm http fetch GET 200 https://registry.npmmirror.com/open-editor 117ms (cache revalidated)
npm http fetch GET 200 https://registry.npmmirror.com/c8 102ms (cache revalidated)
npm http cache https://registry.npmmirror.com/mocha 18ms (cache hit)
npm http fetch GET 200 https://registry.npmmirror.com/rollup-plugin-copy 104ms (cache miss)
npm http cache https://registry.npmmirror.com/v8-to-istanbul 22ms (cache hit)
npm http cache https://registry.npmmirror.com/colorette 17ms (cache hit)
npm http cache https://registry.npmmirror.com/@bcoe%2fv8-coverage 26ms (cache hit)
npm http cache https://registry.npmmirror.com/@types%2ffs-extra 19ms (cache hit)
npm http fetch GET 200 https://registry.npmmirror.com/@humanfs%2ftypes 100ms (cache miss)
npm http cache https://registry.npmmirror.com/mocha 22ms (cache hit)
npm http cache https://registry.npmmirror.com/@types%2fnode 33ms (cache hit)
npm http cache https://registry.npmmirror.com/chai 20ms (cache hit)
npm http cache https://registry.npmmirror.com/eslint 19ms (cache hit)
npm http cache https://registry.npmmirror.com/lint-staged 18ms (cache hit)
npm http cache https://registry.npmmirror.com/rollup 23ms (cache hit)
npm http cache https://registry.npmmirror.com/typescript 52ms (cache hit)
npm http fetch GET 200 https://registry.npmmirror.com/yorkie 73ms (cache miss)
npm http cache https://registry.npmmirror.com/check-error 48ms (cache hit)
npm http cache https://registry.npmmirror.com/get-func-name 52ms (cache hit)
